PatentNumber,class,reactants>reagents>production
US09085555B2,,C1CCOC1.CCN(CC)CC.O.O=C(O)C(F)(F)F.[NH2:1][C:2](=[O:3])[n:4]1[cH:5][c:6]([N:7]=[C:8]=[O:9])[c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]12.[NH:10]1[CH2:11][C@H:12]([F:13])[CH2:14][C@H:15]1[C:16](=[O:17])[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1>>[NH2:1][C:2](=[O:3])[n:4]1[cH:5][c:6]([NH:7][C:8](=[O:9])[N:10]2[CH2:11][C@H:12]([F:13])[CH2:14][C@H:15]2[C:16](=[O:17])[O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]12
US09090559B2,,CC(C)=O.CO[CH:13]([CH2:12][NH:11][C:9]([C@@H:8]1[CH2:7][C@@H:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])[CH2:26][N:15]1[C:16](=[O:17])[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)=[O:10])[O:14]C.Cl>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C@@H:6]1[CH2:7][C@@H:8]([C:9](=[O:10])[NH:11][CH2:12][CH:13]=[O:14])[N:15]([C:16](=[O:17])[O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[CH2:26]1
US07342014B2,,CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].CCN(CC)CC.Cl.ClCCl.[NH:8]1[CH2:9][C@H:10]([O:11][S:12]([CH3:13])(=[O:14])=[O:15])[C@@H:16]([O:17][S:18]([CH3:19])(=[O:20])=[O:21])[CH2:22]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C@H:10]([O:11][S:12]([CH3:13])(=[O:14])=[O:15])[C@@H:16]([O:17][S:18]([CH3:19])(=[O:20])=[O:21])[CH2:22]1
US07074777B2,,Br[Mg][CH2:2][CH3:1].C1C[CH2:6][CH2:5]O1.CN(C)[C:3](=[O:4])[CH2:7][CH2:8][O:9][C:10]([CH3:11])([CH3:12])[C:13]1=[CH:14][CH2:15][C@H:16]2[C:17]3=[CH:18][CH:19]=[C:20]4[CH2:21][C@@H:22]([O:23][Si:24]([CH3:25])([CH3:26])[C:27]([CH3:28])([CH3:29])[CH3:30])[CH2:31][C@H:32]([O:33][Si:34]([CH3:35])([CH3:36])[C:37]([CH3:38])([CH3:39])[CH3:40])[C@:41]4([CH3:42])[C@H:43]3[CH2:44][CH2:45][C@:46]12[CH3:47].Cl[Ce](Cl)Cl>>[CH3:1][CH2:2][C:3]([OH:4])([CH2:5][CH3:6])[CH2:7][CH2:8][O:9][C:10]([CH3:11])([CH3:12])[C:13]1=[CH:14][CH2:15][C@H:16]2[C:17]3=[CH:18][CH:19]=[C:20]4[CH2:21][C@@H:22]([O:23][Si:24]([CH3:25])([CH3:26])[C:27]([CH3:28])([CH3:29])[CH3:30])[CH2:31][C@H:32]([O:33][Si:34]([CH3:35])([CH3:36])[C:37]([CH3:38])([CH3:39])[CH3:40])[C@:41]4([CH3:42])[C@H:43]3[CH2:44][CH2:45][C@:46]12[CH3:47]
US09040522B2,,O[C:12]([c:11]1[cH:10][cH:9][c:8](-[n:7]2[n:6][cH:5][c:4](-[c:3]3[c:2]([CH3:1])[c:32]([F:33])[c:29]([C:30]#[N:31])[cH:28][cH:27]3)[c:25]2[OH:26])[n:24][cH:23]1)=[O:13].[NH:14]1[CH2:15][CH2:16][N:17]2[CH2:18][CH2:19][CH2:20][C@@H:21]2[CH2:22]1>>[CH3:1][c:2]1[c:3](-[c:4]2[cH:5][n:6][n:7](-[c:8]3[cH:9][cH:10][c:11]([C:12](=[O:13])[N:14]4[CH2:15][CH2:16][N:17]5[CH2:18][CH2:19][CH2:20][C@@H:21]5[CH2:22]4)[cH:23][n:24]3)[c:25]2[OH:26])[cH:27][cH:28][c:29]([C:30]#[N:31])[c:32]1[F:33]
US07625901B2,,CN(C)C=O.C[O:18][C:16]([CH2:15]Br)=[O:17].[CH3:1][c:2]1[cH:3][cH:4][c:5]([C@@H:6]2[CH2:7][CH2:8][C:9]([CH3:10])([CH3:11])[C:12](=[O:13])[NH:14]2)[cH:19][c:20]1[F:21].[H-].[Na+].[Na+].[OH-]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C@@H:6]2[CH2:7][CH2:8][C:9]([CH3:10])([CH3:11])[C:12](=[O:13])[N:14]2[CH2:15][C:16](=[O:17])[OH:18])[cH:19][c:20]1[F:21]
US05461036,,CCCCCC.CCOC(C)=O.C[O:14][C:12]([CH:11]=P(c1ccccc1)(c1ccccc1)c1ccccc1)=[O:13].ClCCl.O=[CH:10]/[CH:9]=[CH:8]/[CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7]/[CH:8]=[CH:9]/[CH:10]=[CH:11]/[C:12](=[O:13])[OH:14]
US07135484B2,,Br[c:15]1[cH:16][cH:17][cH:18][n:19][cH:20]1.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C@H:10]2[CH2:11][CH2:12][C:13](=[O:14])[C@H:21]2[CH2:22]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH:10]2[CH2:11][CH2:12][C:13]([OH:14])([c:15]3[cH:16][cH:17][cH:18][n:19][cH:20]3)[CH:21]2[CH2:22]1
US04661630,,[NH2:10][c:11]1[cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24]1.[O:1]=[C:2]1[O:3][C:8](=[O:9])[CH:7]2[CH:4]1[CH2:5][CH2:6]2>>[O:1]=[C:2]([OH:3])[C@@H:4]1[CH2:5][CH2:6][C@@H:7]1[C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([C:14]([F:15])([F:16])[F:17])[cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24]1
US08802864B2,,CN(C)C=O.Cl[CH2:14][CH2:15][N:16]1[C:17](=[O:18])[c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]2[C:25]1=[O:26].O=C([O-])[O-].[K+].[K+].[O:1]=[C:2]([CH:3]1[CH2:4][CH2:5]1)[N:6]1[CH2:7][CH2:8][C@@H:9]([CH2:10][c:11]2[n:12][nH:13][c:27](=[O:28])[n:29]2-[c:30]2[cH:31][cH:32][c:33](-[c:34]3[cH:35][cH:36][c:37]4[o:38][cH:39][cH:40][c:41]4[cH:42]3)[cH:43][cH:44]2)[CH2:45]1>>[O:1]=[C:2]([CH:3]1[CH2:4][CH2:5]1)[N:6]1[CH2:7][CH2:8][C@@H:9]([CH2:10][c:11]2[n:12][n:13]([CH2:14][CH2:15][N:16]3[C:17](=[O:18])[c:19]4[cH:20][cH:21][cH:22][cH:23][c:24]4[C:25]3=[O:26])[c:27](=[O:28])[n:29]2-[c:30]2[cH:31][cH:32][c:33](-[c:34]3[cH:35][cH:36][c:37]4[o:38][cH:39][cH:40][c:41]4[cH:42]3)[cH:43][cH:44]2)[CH2:45]1
US08575156B2,,O[CH2:21][CH2:20][C@:19]1([c:27]2[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]2)[CH2:18][CH2:17][N:16]([C@@H:2]([CH3:1])[c:3]2[cH:4][cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]3)[cH:14][cH:15]2)[C:35](=[O:36])[O:34]1.[NH:22]1[CH2:23][CH2:24][CH2:25][CH2:26]1>>[CH3:1][C@@H:2]([c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[cH:14][cH:15]1)[N:16]1[CH2:17][CH2:18][C@:19]([CH2:20][CH2:21][N:22]2[CH2:23][CH2:24][CH2:25][CH2:26]2)([c:27]2[cH:28][cH:29][c:30]([F:31])[cH:32][cH:33]2)[O:34][C:35]1=[O:36]
US08071592B2,,CN(C)C=O.Cl[c:14]1[n:13][c:4](/[CH:5]=[CH:6]/[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[n:3][c:2]([Cl:1])[c:15]1[CH2:16][CH2:17][CH2:18][OH:19].O=C([O-])[O-].[K+].[K+]>>[Cl:1][c:2]1[n:3][c:4](/[CH:5]=[CH:6]/[c:7]2[cH:8][cH:9][cH:10][cH:11][cH:12]2)[n:13][c:14]2[c:15]1[CH2:16][CH2:17][CH2:18][O:19]2
US07183287B2,,Cl.NC[C:12](N)=[O:13].N[C:10]([CH2:9][NH:8][C:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[c:15](-[n:16]2[cH:17][n:18][c:19]([O:20][CH2:21][c:22]3[cH:23][cH:24][c:25]([F:26])[cH:27][c:28]3[F:29])[c:30]([Cl:31])[c:32]2=[O:33])[cH:14]1)=[O:7])=[O:11]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6](=[O:7])[NH:8][CH2:9][C@@H:10]([OH:11])[CH2:12][OH:13])[cH:14][c:15]1-[n:16]1[cH:17][n:18][c:19]([O:20][CH2:21][c:22]2[cH:23][cH:24][c:25]([F:26])[cH:27][c:28]2[F:29])[c:30]([Cl:31])[c:32]1=[O:33]
US08354441B2,,CO.O=[Pt]=O.[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[C@@H:9](/[CH:10]=[CH:11]/[c:12]2[cH:13][cH:14][c:15]([NH:16][C:17](=[O:18])[NH:19][c:20]3[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]3)[cH:27][cH:28]2)[CH2:29][O:30][C:31]1([CH3:32])[CH3:33]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[C@@H:9]([CH2:10][CH2:11][c:12]2[cH:13][cH:14][c:15]([NH:16][C:17](=[O:18])[NH:19][c:20]3[cH:21][cH:22][c:23]([Cl:24])[cH:25][cH:26]3)[cH:27][cH:28]2)[CH2:29][O:30][C:31]1([CH3:32])[CH3:33]
US08865704B2,,CN(C)C=O.I[CH3:14].O.[CH3:1][O:2][C:3](=[O:4])[C@H:5]1[CH2:6][CH2:7][C@H:8]([CH2:9][n:10]2[c:11](=[O:12])[nH:13][c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][c:24]23)[CH2:25][CH2:26]1.[H-].[Na+]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]1[CH2:6][CH2:7][C@H:8]([CH2:9][n:10]2[c:11](=[O:12])[n:13]([CH3:14])[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][c:24]23)[CH2:25][CH2:26]1
US06534518B1,,CC#N.Cc1ccccc1.O=P(Cl)(Cl)Cl.O=[C:18]([NH:17][C@H:16]1[C@@H:11]([c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[c:8]([O:9][CH3:10])[cH:7]2)[CH2:12][CH2:13][CH2:14][CH2:15]1)[c:19]1[cH:20][cH:21][c:22]([N+:23](=[O:24])[O-:25])[c:26]([N+:27](=[O:28])[O-:29])[cH:30]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][c:8]1[O:9][CH3:10])[C@@H:11]1[CH2:12][CH2:13][CH2:14][CH2:15][C@@H:16]1[N:17]=[C:18]2[c:19]1[cH:20][cH:21][c:22]([N+:23](=[O:24])[O-:25])[c:26]([N+:27](=[O:28])[O-:29])[cH:30]1
US06143906,,ClCCl.Cl[C:6](/[CH:5]=[CH:4]/[CH:3]=[CH:2]/[CH3:1])=[O:7].[OH:8][C:9]1=[C:10]([OH:11])[C@@H:12]([C@@H:13]([OH:14])[CH2:15][O:16][C:17](=[O:18])[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH2:25][CH2:26][CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH3:33])[O:34][C:35]1=[O:36].c1ccncc1>>[CH3:1]/[CH:2]=[CH:3]/[CH:4]=[CH:5]/[C:6](=[O:7])[O:8][C:9]1=[C:10]([OH:11])[C@@H:12]([C@@H:13]([OH:14])[CH2:15][O:16][C:17](=[O:18])[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][CH2:24][CH2:25][CH2:26][CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH3:33])[O:34][C:35]1=[O:36]
US09408914B2,,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5]/[CH:6]=[CH:7]\[CH2:8]/[CH:9]=[CH:10]\[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][C:18](=[O:19])[OH:37].[OH:20][CH2:21][C@@H:22]1[CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:39])[CH3:52])[CH2:32][C@H:33]1[CH2:34][OH:35]>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5]/[CH:6]=[CH:7]\[CH2:8]/[CH:9]=[CH:10]\[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][C:18](=[O:19])[O:20][CH2:21][C@@H:22]1[CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32][C@H:33]1[CH2:34][O:35][C:36](=[O:37])[CH2:38][CH2:39][CH2:40][CH2:41][CH2:42][CH2:43][CH2:44]/[CH:45]=[CH:46]\[CH2:47]/[CH:48]=[CH:49]\[CH2:50][CH2:51][CH2:52][CH2:53][CH3:54]
US04323578,,[CH3:1][N:2]=[C:3]=[O:4].[OH:5]/[N:6]=[C:7](\[S:8][CH3:9])[C:10]([F:11])([F:12])[F:13]>>[CH3:1][NH:2][C:3](=[O:4])[O:5]/[N:6]=[C:7](\[S:8][CH3:9])[C:10]([F:11])([F:12])[F:13]
US07855218B2,,CCNCC.CCOC(C)=O.Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.I[c:9]1[cH:10][cH:11][c:12]([NH:13][CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[F:21])[cH:22][cH:23]1.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][C:7]#[CH:8])[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31].[Cu]I>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][C:7]#[C:8][c:9]1[cH:10][cH:11][c:12]([NH:13][CH2:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[F:21])[cH:22][cH:23]1)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31]
US05300674,,C1C[N:2]([CH3:1])CCO1.CCO.ClCCl.O[C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][c:10]([C:11]#[N:12])[cH:13][cH:14]1)[NH:15][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22].Oc1c(F)c(F)c(F)c(F)c1F>>[CH3:1][NH:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][c:10]([C:11]#[N:12])[cH:13][cH:14]1)[NH:15][C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22]
US09067941B2,,CC(C)(C)OC(=O)[NH:12][C@H:11]1[CH2:10][C@@H:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[C@@H:2]([CH3:1])[n:22]2[c:13]1[n:14][cH:15][c:16]2[CH2:17][C:18]([F:19])([F:20])[F:21].CN(C)C=O.ClCCl.O=C(O)C(F)(F)F>>[CH3:1][C@@H:2]1[C@H:3]([c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][C@H:11]([NH2:12])[c:13]2[n:14][cH:15][c:16]([CH2:17][C:18]([F:19])([F:20])[F:21])[n:22]21
US08614206B2,,CC(C)(C)OC(=O)[NH:23][c:22]1[c:10]([C:8]([NH:7][c:6]2[c:5]([N:4]3[CH2:3][C@@H:2]([CH3:1])[N:34](C(=O)OC(C)(C)C)[CH2:33][CH2:32]3)[n:26]([CH2:27][C:28]([F:29])([F:30])[F:31])[n:25][cH:24]2)=[O:9])[n:11][c:12](-[c:13]2[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]2[F:20])[s:21]1.CO.CO.Cl.N>>[CH3:1][C@@H:2]1[CH2:3][N:4]([c:5]2[c:6]([NH:7][C:8](=[O:9])[c:10]3[n:11][c:12](-[c:13]4[c:14]([F:15])[cH:16][cH:17][cH:18][c:19]4[F:20])[s:21][c:22]3[NH2:23])[cH:24][n:25][n:26]2[CH2:27][C:28]([F:29])([F:30])[F:31])[CH2:32][CH2:33][NH:34]1
US07074819B2,,CO.COC[O:7][c:6]1[cH:5][cH:4][c:3]([C:2]2([CH3:1])[CH2:10][O:11][c:12]3[cH:13][c:14]([O:15]COC)[cH:16][cH:17][c:18]3[CH:19]2[c:20]2[cH:21][cH:22][c:23]([O:24][CH2:25][C@H:26]([OH:27])[CH2:28][O:29][CH2:30][CH2:31][S:32][CH2:33][CH2:34][CH2:35][C:36]([F:37])([F:38])[C:39]([F:40])([F:41])[F:42])[cH:43][cH:44]2)[cH:9][cH:8]1.Cl.O>>[CH3:1][C:2]1([c:3]2[cH:4][cH:5][c:6]([OH:7])[cH:8][cH:9]2)[CH2:10][O:11][c:12]2[cH:13][c:14]([OH:15])[cH:16][cH:17][c:18]2[CH:19]1[c:20]1[cH:21][cH:22][c:23]([O:24][CH2:25][C@H:26]([OH:27])[CH2:28][O:29][CH2:30][CH2:31][S:32][CH2:33][CH2:34][CH2:35][C:36]([F:37])([F:38])[C:39]([F:40])([F:41])[F:42])[cH:43][cH:44]1
US07019137B2,,C1C[CH2:1]CO1.CCOC(C)=O.Cl[CH2:3][CH2:2][NH:5][CH2:6][CH2:7]Cl.Clc1cc[cH:20][cH:19]c1.[Al+3].[H-].[H-].[H-].[H-].[Li+].[NH2:8][c:9]1[cH:10][cH:11][cH:12][c:13]2[c:14]1[O:15][CH2:16][CH2:17][O:18]2.[Na+].[O-]C(O)=[O:4]>>[CH3:1][C@H:2]([CH2:3][OH:4])[N:5]1[CH2:6][CH2:7][N:8]([c:9]2[cH:10][cH:11][cH:12][c:13]3[c:14]2[O:15][CH2:16][CH2:17][O:18]3)[CH2:19][CH2:20]1
US08748426B2,,COC(=O)[C@H](C(C)C)N1Cc2ccc(-c3ccc(NC(=O)c4ccccc4)cc3)cc2C1=O.Cl[C:20](=[O:21])[c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[O:28][c:29]1[cH:30][cH:31][cH:32][cH:33][cH:34]1.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH:6]([CH3:7])[CH3:8])[N:9]1[CH2:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([NH2:19])[cH:35][cH:36]3)[cH:37][c:38]2[C:39]1=[O:40]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH:6]([CH3:7])[CH3:8])[N:9]1[CH2:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([NH:19][C:20](=[O:21])[c:22]4[cH:23][cH:24][cH:25][cH:26][c:27]4[O:28][c:29]4[cH:30][cH:31][cH:32][cH:33][cH:34]4)[cH:35][cH:36]3)[cH:37][c:38]2[C:39]1=[O:40]
US03994885,,C=CCOCC=C.[CH2:1]=[CH:2][CH2:3][OH:4].[K].c1ccc(C(c2ccccc2)[O:21][C:19]([C:18]2=[C:22]([CH3:23])[CH2:24][S:25][C@@H:26]3[CH:5]([NH:6][C:7](=[O:8])[CH2:9][c:10]4[cH:11][cH:12][cH:13][s:14]4)[C:15](=[O:16])[N:17]23)=[O:20])cc1>>[CH2:1]=[CH:2][CH2:3][O:4][C:5]1([NH:6][C:7](=[O:8])[CH2:9][c:10]2[cH:11][cH:12][cH:13][s:14]2)[C:15](=[O:16])[N:17]2[C:18]([C:19](=[O:20])[OH:21])=[C:22]([CH3:23])[CH2:24][S:25][C@H:26]12
US08697725B2,,Br[c:8]1[cH:7][cH:6][c:5]2[c:15]([cH:14]1)[C@H:16]([NH:17][C:18](=[O:19])[O:20][CH:21]([CH3:22])[CH3:23])[CH2:24][C@H:25]([CH3:26])[N:4]2[C:2]([CH3:1])=[O:3].CCO.Cc1ccccc1.O=C([O-])[O-].OB(O)[c:9]1[cH:10][cH:11][n:12][nH:13]1.[K+].[K+].c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>>[CH3:1][C:2](=[O:3])[N:4]1[c:5]2[cH:6][cH:7][c:8](-[c:9]3[cH:10][cH:11][n:12][nH:13]3)[cH:14][c:15]2[C@H:16]([NH:17][C:18](=[O:19])[O:20][CH:21]([CH3:22])[CH3:23])[CH2:24][C@@H:25]1[CH3:26]
US05730902,,Br[CH2:9][C@@H:7]([CH2:6][CH2:5][CH2:4][CH2:3][CH2:2][CH3:1])[F:8].O=S(=O)(O[c:10]1[c:11]([F:12])[cH:13][c:14]([CH:15]2[CH2:16][CH2:17][Si:18](c3ccccc3)([CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][O:24][CH3:25])[CH2:26][CH2:27]2)[cH:28][c:29]1[F:30])C(F)(F)F>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][C@@H:7]([F:8])[CH2:9][c:10]1[c:11]([F:12])[cH:13][c:14]([C@H:15]2[CH2:16][CH2:17][Si@H:18]([CH2:19][CH2:20][CH2:21][CH2:22][CH2:23][O:24][CH3:25])[CH2:26][CH2:27]2)[cH:28][c:29]1[F:30]
US06858651B2,,CCN(C(C)C)C(C)C.ClCCl.Cl[C:3](=[O:4])[O:5][c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][cH:12]1.[CH3:1][NH:2][C@H:13]1[CH2:14][CH2:15][C@H:16]([OH:17])[CH2:18][CH2:19]1>>[CH3:1][N:2]([C:3](=[O:4])[O:5][c:6]1[cH:7][cH:8][c:9]([Cl:10])[cH:11][cH:12]1)[C@H:13]1[CH2:14][CH2:15][C@H:16]([OH:17])[CH2:18][CH2:19]1
US08067448B2,,ClCCl.II.O=[C:6]([C@H:5]([NH:4][c:3]1[c:2]([CH3:1])[c:34]([C:35]([F:36])([F:37])[F:38])[c:31]([C:32]#[N:33])[cH:30][cH:29]1)[C@H:19]([CH3:20])[O:21][Si:22]([CH3:23])([CH3:24])[C:25]([CH3:26])([CH3:27])[CH3:28])[NH:7][NH:8][C:9]([c:10]1[cH:11][cH:12][c:13]([C:14]#[N:15])[cH:16][cH:17]1)=[O:18].c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[CH3:1][c:2]1[c:3]([NH:4][C@@H:5]([c:6]2[n:7][n:8][c:9](-[c:10]3[cH:11][cH:12][c:13]([C:14]#[N:15])[cH:16][cH:17]3)[o:18]2)[C@H:19]([CH3:20])[O:21][Si:22]([CH3:23])([CH3:24])[C:25]([CH3:26])([CH3:27])[CH3:28])[cH:29][cH:30][c:31]([C:32]#[N:33])[c:34]1[C:35]([F:36])([F:37])[F:38]
US06706700B2,,CCN(CC)CC.CCO.O=[CH2:6].[CH3:1][C@@H:2]1[CH2:3][C:4]2=[CH:5][C:14](=[O:15])[CH2:16][CH2:17][C@@H:18]2[C@H:19]2[CH2:20][CH2:21][C@:22]3([CH3:23])[C@H:24]([CH2:25][OH:26])[CH2:27][C@H:28]4[CH2:29][C@@:30]34[C@H:31]12.[K+].[OH-].[SH:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][C@@H:2]1[CH2:3][C:4]2=[C:5]([CH2:6][S:7][c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[C:14](=[O:15])[CH2:16][CH2:17][C@@H:18]2[C@H:19]2[CH2:20][CH2:21][C@:22]3([CH3:23])[C@H:24]([CH2:25][OH:26])[CH2:27][C@H:28]4[CH2:29][C@@:30]34[C@H:31]12
US09085555B2,,C1CCOC1.CCN(C(C)C)C(C)C.CN(C)C(On1nnc2ccccc21)=[N+](C)C.F[P-](F)(F)(F)(F)F.NC(=O)n1cc(NC(=O)N2[C@H](CNC(=O)Oc3cccc(Cl)c3F)C[C@H]3C[C@H]32)c2ccccc21.O[C:8]([CH2:7][n:6]1[cH:5][c:4]([C:2]([CH3:1])=[O:3])[c:34]2[c:29]1[cH:30][cH:31][cH:32][cH:33]2)=[O:9].[NH:10]1[C@H:11]([CH2:12][NH:13][C:14](=[O:15])[O:16][c:17]2[cH:18][cH:19][cH:20][c:21]([Cl:22])[c:23]2[F:24])[CH2:25][C@H:26]2[CH2:27][C@@H:28]12>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][n:6]([CH2:7][C:8](=[O:9])[N:10]2[C@H:11]([CH2:12][NH:13][C:14](=[O:15])[O:16][c:17]3[cH:18][cH:19][cH:20][c:21]([Cl:22])[c:23]3[F:24])[CH2:25][C@H:26]3[CH2:27][C@@H:28]23)[c:29]2[cH:30][cH:31][cH:32][cH:33][c:34]12
US09034311B2,,CCN(C(C)C)C(C)C.CN1CCCC1=O.Cl.Cl[c:4]1[cH:5][n:6][cH:7][c:8]([Cl:9])[n:10]1.[CH3:1][C@H:2]([NH2:3])[c:11]1[cH:12][cH:13][c:14]([F:15])[cH:16][n:17]1>>[CH3:1][C@H:2]([NH:3][c:4]1[cH:5][n:6][cH:7][c:8]([Cl:9])[n:10]1)[c:11]1[cH:12][cH:13][c:14]([F:15])[cH:16][n:17]1
US08575208B2,,O[C:25](=[O:26])[C@@H:27]([NH:28][C:29](=[O:30])[CH2:31][CH:32]1[CH2:33][CH2:34][CH2:35][CH2:36][CH2:37]1)[C:38]([CH3:39])([CH3:40])[CH3:41].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[C@@H:8]1[CH2:9][C@:10]2([CH2:11][N:12]([c:13]3[cH:14][cH:15][cH:16][c:17]([Cl:18])[cH:19]3)[C:20](=[O:21])[O:22]2)[CH2:23][NH:24]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[C@@H:8]1[CH2:9][C@:10]2([CH2:11][N:12]([c:13]3[cH:14][cH:15][cH:16][c:17]([Cl:18])[cH:19]3)[C:20](=[O:21])[O:22]2)[CH2:23][N:24]1[C:25](=[O:26])[C@@H:27]([NH:28][C:29](=[O:30])[CH2:31][CH:32]1[CH2:33][CH2:34][CH2:35][CH2:36][CH2:37]1)[C:38]([CH3:39])([CH3:40])[CH3:41]
