relation,display_relation,x_type,x_name,y_type,y_name
disease_phenotype_positive,phenotype present,disease,dystrophic epidermolysis bullosa,effect/phenotype,Papule
disease_phenotype_positive,phenotype present,effect/phenotype,Abnormality of the hypothalamus-pituitary axis,disease,Axenfeld-Rieger syndrome
disease_phenotype_positive,phenotype present,disease,22q11.2 deletion syndrome,effect/phenotype,Hearing impairment
disease_phenotype_positive,phenotype present,effect/phenotype,Developmental cataract,disease,palmoplantar keratoderma and congenital alopecia
disease_phenotype_positive,phenotype present,disease,bilateral perisylvian polymicrogyria,effect/phenotype,Intellectual disability
disease_phenotype_positive,phenotype present,disease,tibial muscular dystrophy,effect/phenotype,Autosomal dominant inheritance
disease_phenotype_positive,phenotype present,disease,chromosome 2q32-q33 deletion syndrome,effect/phenotype,Micrognathia
disease_phenotype_positive,phenotype present,effect/phenotype,Global developmental delay,disease,Baraitser-winter syndrome
disease_phenotype_positive,phenotype present,disease,McKusick-Kaufman syndrome,effect/phenotype,Aganglionic megacolon
disease_phenotype_positive,phenotype present,effect/phenotype,Jaundice,disease,congenital dyserythropoietic anemia
disease_phenotype_positive,phenotype present,disease,familial lipoprotein lipase deficiency,effect/phenotype,Lactescent serum
disease_phenotype_positive,phenotype present,disease,hamartoma (disease),effect/phenotype,Cerebral hamartoma
disease_phenotype_positive,phenotype present,disease,"hereditary acrokeratotic poikiloderma, Weary type",effect/phenotype,Abnormal renal tubule morphology
disease_phenotype_positive,phenotype present,effect/phenotype,Cerebral calcification,disease,neurodevelopmental disorder with alopecia and brain abnormalities
disease_phenotype_positive,phenotype present,disease,urethral valve,effect/phenotype,Dysuria
disease_phenotype_positive,phenotype present,effect/phenotype,Cleft palate,disease,dyssegmental dysplasia-glaucoma syndrome
disease_phenotype_positive,phenotype present,disease,cranioectodermal dysplasia,effect/phenotype,Abnormality of dental enamel
disease_phenotype_positive,phenotype present,disease,maculopapular cutaneous mastocytosis,effect/phenotype,Pruritus
disease_phenotype_positive,phenotype present,effect/phenotype,Severely reduced visual acuity,disease,retinitis pigmentosa
disease_phenotype_positive,phenotype present,effect/phenotype,Abnormality of the lymphatic system,disease,neurofibromatosis-Noonan syndrome
protein_protein,ppi,gene/protein,UTP3,gene/protein,TF
protein_protein,ppi,gene/protein,COPS5,gene/protein,TP53
protein_protein,ppi,gene/protein,TP53,gene/protein,UBE2N
protein_protein,ppi,gene/protein,TP53,gene/protein,TAF1C
protein_protein,ppi,gene/protein,TP53,gene/protein,MYBBP1A
protein_protein,ppi,gene/protein,ZNF302,gene/protein,TP53
protein_protein,ppi,gene/protein,YBX1,gene/protein,TP53
protein_protein,ppi,gene/protein,MET,gene/protein,TP53
protein_protein,ppi,gene/protein,CABLES1,gene/protein,TP53
protein_protein,ppi,gene/protein,CABLES2,gene/protein,TP53
protein_protein,ppi,gene/protein,ALB,gene/protein,TK1
protein_protein,ppi,gene/protein,SP1,gene/protein,TP53
protein_protein,ppi,gene/protein,TP53,gene/protein,RRM2B
protein_protein,ppi,gene/protein,WWOX,gene/protein,TP53
protein_protein,ppi,gene/protein,TP53,gene/protein,KANSL1
protein_protein,ppi,gene/protein,PRMT5,gene/protein,TP53
protein_protein,ppi,gene/protein,TP53,gene/protein,PABPC1
protein_protein,ppi,gene/protein,SRGN,gene/protein,ALB
protein_protein,ppi,gene/protein,TF,gene/protein,DDX19B
protein_protein,ppi,gene/protein,TP53,gene/protein,RPA1
protein_protein,ppi,gene/protein,TP53,gene/protein,SIRT1
protein_protein,ppi,gene/protein,TP53,gene/protein,WWOX
protein_protein,ppi,gene/protein,RACK1,gene/protein,TP53
protein_protein,ppi,gene/protein,TP53,gene/protein,DROSHA
protein_protein,ppi,gene/protein,TP53,gene/protein,PRKDC
protein_protein,ppi,gene/protein,CCN3,gene/protein,TP53
protein_protein,ppi,gene/protein,ARNT,gene/protein,TP53
protein_protein,ppi,gene/protein,BTK,gene/protein,TP53
protein_protein,ppi,gene/protein,TP53,gene/protein,CAPG
protein_protein,ppi,gene/protein,FOXO3,gene/protein,TP53
drug_effect,side effect,effect/phenotype,Abnormality of the eye,drug,Morphine
drug_effect,side effect,effect/phenotype,Excessive daytime somnolence,drug,Ciprofloxacin
drug_effect,side effect,effect/phenotype,Respiratory arrest,drug,Morphine
drug_effect,side effect,drug,Acetaminophen,effect/phenotype,Erythroderma
drug_effect,side effect,drug,Doxorubicin,effect/phenotype,Hypokinesia
drug_effect,side effect,drug,Morphine,effect/phenotype,Decreased pulmonary function
drug_effect,side effect,drug,Doxorubicin,effect/phenotype,Migraine
drug_effect,side effect,drug,Doxorubicin,effect/phenotype,Cardiomyopathy
drug_effect,side effect,effect/phenotype,Tinnitus,drug,Doxorubicin
drug_effect,side effect,effect/phenotype,Pallor,drug,Nicotine
drug_effect,side effect,drug,Ciprofloxacin,effect/phenotype,Granulocytopenia
drug_effect,side effect,drug,Acetaminophen,effect/phenotype,Hyperkinetic movements
drug_effect,side effect,effect/phenotype,Rigidity,drug,Morphine
drug_effect,side effect,effect/phenotype,Decreased liver function,drug,Doxorubicin
drug_effect,side effect,effect/phenotype,Hepatic failure,drug,Doxorubicin
drug_effect,side effect,effect/phenotype,Xerostomia,drug,Doxorubicin
drug_effect,side effect,drug,Doxorubicin,effect/phenotype,Skin ulcer
drug_effect,side effect,drug,Nicotine,effect/phenotype,Oral ulcer
drug_effect,side effect,drug,Ciprofloxacin,effect/phenotype,Bradycardia
drug_effect,side effect,drug,Doxorubicin,effect/phenotype,Abdominal pain
drug_effect,side effect,effect/phenotype,Syncope,drug,Ciprofloxacin
drug_effect,side effect,effect/phenotype,Abnormal joint morphology,drug,Doxorubicin
drug_effect,side effect,effect/phenotype,Joint swelling,drug,Ciprofloxacin
drug_effect,side effect,drug,Ciprofloxacin,effect/phenotype,Epiphora
drug_effect,side effect,effect/phenotype,Elevated hepatic transaminase,drug,Morphine
drug_effect,side effect,drug,Nicotine,effect/phenotype,Syncope
drug_effect,side effect,effect/phenotype,Dysphagia,drug,Doxorubicin
drug_effect,side effect,drug,Ciprofloxacin,effect/phenotype,Tachycardia
drug_effect,side effect,drug,Acetaminophen,effect/phenotype,Incoordination
drug_effect,side effect,effect/phenotype,Hyperventilation,drug,Doxorubicin
drug_drug,synergistic interaction,drug,Ciprofloxacin,drug,Azidocillin
drug_drug,synergistic interaction,drug,Cefradine,drug,Doxorubicin
drug_drug,synergistic interaction,drug,Nicotine,drug,Lacosamide
drug_drug,synergistic interaction,drug,Ciprofloxacin,drug,Technetium Tc-99m ciprofloxacin
drug_drug,synergistic interaction,drug,Acetaminophen,drug,Flomoxef
drug_drug,synergistic interaction,drug,Ciprofloxacin,drug,Prednisone
drug_drug,synergistic interaction,drug,Magnesium acetate,drug,Nicotine
drug_drug,synergistic interaction,drug,Ciprofloxacin,drug,Alendronic acid
drug_drug,synergistic interaction,drug,Norfloxacin,drug,Ciprofloxacin
drug_drug,synergistic interaction,drug,Morphine,drug,Phentermine
drug_drug,synergistic interaction,drug,Ceftriaxone,drug,Acetaminophen
drug_drug,synergistic interaction,drug,Bepridil,drug,Acetaminophen
drug_drug,synergistic interaction,drug,Vorinostat,drug,Doxorubicin
drug_drug,synergistic interaction,drug,Norfloxacin,drug,Acetaminophen
drug_drug,synergistic interaction,drug,Morphine,drug,Midazolam
drug_drug,synergistic interaction,drug,Procainamide,drug,Doxorubicin
drug_drug,synergistic interaction,drug,Tazemetostat,drug,Morphine
drug_drug,synergistic interaction,drug,Ciprofloxacin,drug,Edrophonium
drug_drug,synergistic interaction,drug,Ramipril,drug,Morphine
drug_drug,synergistic interaction,drug,Captopril,drug,Ciprofloxacin
drug_drug,synergistic interaction,drug,Cisapride,drug,Doxorubicin
drug_drug,synergistic interaction,drug,Morphine,drug,Atropine
drug_drug,synergistic interaction,drug,Acetaminophen,drug,Ibutilide
drug_drug,synergistic interaction,drug,Morphine,drug,Tianeptine
drug_drug,synergistic interaction,drug,Doxorubicin,drug,Pantoprazole
drug_drug,synergistic interaction,drug,Morphine,drug,Dimetacrine
drug_drug,synergistic interaction,drug,Hydrocortisone succinate,drug,Ciprofloxacin
drug_drug,synergistic interaction,drug,Doxorubicin,drug,Nitric Oxide
drug_drug,synergistic interaction,drug,Acetaminophen,drug,Gadodiamide
drug_drug,synergistic interaction,drug,Morphine,drug,Reboxetine
drug_protein,target,drug,Norelgestromin,gene/protein,ALB
drug_protein,target,gene/protein,ABCB1,drug,Tetrandrine
drug_protein,target,drug,Isoniazid,gene/protein,CYP3A4
drug_protein,target,gene/protein,TP53,drug,"Zinc sulfate, unspecified form"
drug_protein,target,drug,Miltefosine,gene/protein,ABCB1
drug_protein,target,gene/protein,ABCB1,drug,ATP
drug_protein,target,drug,Morphine,gene/protein,OPRM1
drug_protein,target,gene/protein,RDH11,drug,Vitamin A
drug_protein,target,drug,Iron,gene/protein,TF
drug_protein,target,gene/protein,TP53,drug,1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine
drug_protein,target,gene/protein,ALB,drug,Aniline
drug_protein,target,gene/protein,PTGES3,drug,Acetaminophen
drug_protein,target,gene/protein,APOD,drug,Vitamin A
drug_protein,target,gene/protein,TF,drug,Aluminum acetate
drug_protein,target,drug,Ferrous gluconate,gene/protein,TF
drug_protein,target,drug,Reversin 121,gene/protein,ABCB1
drug_protein,target,gene/protein,ABCB1,drug,Miltefosine
drug_protein,target,drug,Ferrous fumarate,gene/protein,TF
drug_protein,target,gene/protein,ABCB1,drug,Concanamycin A
drug_protein,target,drug,Zinc chloride,gene/protein,TP53
drug_protein,target,drug,Vitamin A,gene/protein,DHRS3
drug_protein,target,drug,Elacridar,gene/protein,ABCB1
drug_protein,target,gene/protein,CHRNA2,drug,Nicotine
drug_protein,target,gene/protein,CHRNA10,drug,Nicotine
drug_protein,target,gene/protein,PTGS2,drug,Acetaminophen
drug_protein,target,gene/protein,RDH5,drug,Vitamin A
drug_protein,target,drug,Nicotine,gene/protein,CHAT
drug_protein,target,gene/protein,TF,drug,Aluminium phosphate
drug_protein,target,drug,Ferrous succinate,gene/protein,TF
drug_protein,target,gene/protein,ABCB1,drug,Dofequidar
drug_protein,transporter,drug,Atorvastatin,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Isavuconazole
drug_protein,transporter,gene/protein,ABCB1,drug,Pantoprazole
drug_protein,transporter,drug,Bicalutamide,gene/protein,ABCB1
drug_protein,transporter,drug,Tolvaptan,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Dexamethasone acetate
drug_protein,transporter,gene/protein,ABCB1,drug,Vismodegib
drug_protein,transporter,drug,Avatrombopag,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Indacaterol
drug_protein,transporter,drug,Digitoxin,gene/protein,ABCB1
drug_protein,transporter,drug,Budesonide,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Dactinomycin
drug_protein,transporter,drug,Betamethasone,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Imatinib
drug_protein,transporter,gene/protein,ABCB1,drug,Ranolazine
drug_protein,transporter,gene/protein,ABCB1,drug,Budesonide
drug_protein,transporter,gene/protein,ABCB1,drug,Propofol
drug_protein,transporter,gene/protein,ABCB1,drug,Zidovudine
drug_protein,transporter,drug,Topiramate,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Clomifene
drug_protein,transporter,drug,Toremifene,gene/protein,ABCB1
drug_protein,transporter,drug,Hydrocortisone acetate,gene/protein,ABCB1
drug_protein,transporter,drug,Estriol,gene/protein,ABCB1
drug_protein,transporter,drug,Doxazosin,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Avapritinib
drug_protein,transporter,drug,Atazanavir,gene/protein,ABCB1
drug_protein,transporter,drug,Topotecan,gene/protein,ABCB1
drug_protein,transporter,gene/protein,ABCB1,drug,Paclitaxel
drug_protein,transporter,gene/protein,ABCB1,drug,Sunitinib
drug_protein,transporter,drug,Nadolol,gene/protein,ABCB1
